experimento,algoritmo,secuencia1,secuencia2,longitud1,longitud2,tiempo,celdas,score
NW_random,NW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,198871,100490528,1077
NW_random,NW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,159212,100170072,1077
NW_random,NW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,137927,100330272,1077
NW_random,NW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_10.fasta,10001,10001,119883,100490528,1077
SW_random,SW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,292808,100030002,1090
SW_random,SW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,173550,100170072,1090
SW_random,SW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,162559,100330272,1090
SW_random,SW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,223465,100490528,1090
SW_random,SW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,185810,100170072,1090
SW_random,SW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,154666,100330272,1090
SW_random,SW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,133324,100490528,1090
NW_random,NW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,278067,100030002,1039
NW_random,NW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,155622,100170072,1039
NW_random,NW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,156750,100330272,1039
NW_random,NW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,198848,100490528,1039
NW_random,NW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,159086,100170072,1039
NW_random,NW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,137661,100330272,1039
NW_random,NW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_9.fasta,10001,10001,119877,100490528,1039
SW_random,SW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,293064,100030002,1129
SW_random,SW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,173319,100170072,1129
SW_random,SW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,164027,100330272,1129
SW_random,SW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,224507,100490528,1129
SW_random,SW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,185911,100170072,1129
SW_random,SW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,154762,100330272,1129
SW_random,SW_ASM_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,132686,100490528,1129
NW_random,NW_C_LIN,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,277352,100030002,1107
NW_random,NW_C_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,155466,100170072,1107
NW_random,NW_C_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,154177,100330272,1107
NW_random,NW_C_AVX512,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,197071,100490528,1107
NW_random,NW_ASM_SSE,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,159871,100170072,1107
NW_random,NW_ASM_AVX,../sequences/random/seq_10000_1.fasta,../sequences/random/seq_10000_3.fasta,10001,10001,138567,100330272,1107
